backend,op,config,m,k,n,cublas_ms,custom_ms,speedup,custom_tflops,max_abs
tuna,sliding_o,smem_16x128,128,8192,5376,0.1474,0.792,0.186,14.24,0.0
tuna,sliding_o,smem_16x128,256,8192,5376,1.4358,1.6555,0.867,13.62,0.03125
tuna,sliding_o,smem_16x128,512,8192,5376,0.3052,5.2054,0.059,8.66,0.0
tuna,sliding_o,smem_32x64,16,8192,5376,0.1362,0.7983,0.171,1.77,0.015625
tuna,sliding_o,smem_32x64,32,8192,5376,0.1477,0.7988,0.185,3.53,0.0
tuna,sliding_o,smem_32x64,64,8192,5376,0.1396,0.8052,0.173,7.0,0.015625
tuna,sliding_o,smem_32x64,128,8192,5376,0.1469,0.7881,0.186,14.31,0.0
tuna,sliding_o,smem_32x64,256,8192,5376,1.7506,1.6038,1.092,14.06,0.03125
tuna,sliding_o,smem_32x64,512,8192,5376,0.3042,3.3323,0.091,13.53,0.0
tuna,sliding_o,smem_32x128,16,8192,5376,0.1351,0.7213,0.187,1.95,0.015625
tuna,sliding_o,smem_32x128,32,8192,5376,0.1373,0.7205,0.191,3.91,0.0
tuna,sliding_o,smem_32x128,64,8192,5376,0.139,0.7035,0.198,8.01,0.015625
tuna,sliding_o,smem_32x128,128,8192,5376,0.1465,0.7211,0.203,15.64,0.0
tuna,sliding_o,smem_32x128,256,8192,5376,4.3135,1.7273,2.497,13.05,0.03125
tuna,sliding_o,smem_32x128,512,8192,5376,0.3054,4.6369,0.066,9.73,0.0
tuna,sliding_o,smem_64x64,16,8192,5376,0.136,0.9738,0.14,1.45,0.015625
tuna,sliding_o,smem_64x64,32,8192,5376,0.1367,0.9726,0.141,2.9,0.0
tuna,sliding_o,smem_64x64,64,8192,5376,0.1387,0.9741,0.142,5.79,0.015625
tuna,sliding_o,smem_64x64,128,8192,5376,0.1467,1.0121,0.145,11.14,0.0
tuna,sliding_o,smem_64x64,256,8192,5376,1.7206,1.9843,0.867,11.36,0.03125
tuna,sliding_o,smem_64x64,512,8192,5376,0.3036,3.0059,0.101,15.0,0.0
