backend,cublas_backend,cublas_algo,op,config,m,k,n,cublas_ms,custom_ms,speedup,custom_tflops,max_abs,cublas_backend,cublas_algo
tuna,lt,default_tensor,global_k,smem_16x64,256,5376,2048,0.0625,0.5826,0.107,9.68,0.0,lt,default_tensor
tuna,lt,default_tensor,global_k,smem_16x64,512,5376,2048,0.126,1.1894,0.106,9.48,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,smem_16x128,16,5376,2048,0.0426,0.5023,0.085,0.7,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,smem_16x128,32,5376,2048,0.0446,0.4981,0.09,1.41,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,smem_16x128,64,5376,2048,0.05,0.4947,0.101,2.85,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,smem_16x128,128,5376,2048,0.0481,0.4966,0.097,5.68,0.0078125,lt,default_tensor
tuna,lt,default_tensor,global_k,smem_16x128,256,5376,2048,0.0625,0.5354,0.117,10.53,0.0,lt,default_tensor
tuna,lt,default_tensor,global_k,smem_16x128,512,5376,2048,0.1268,1.0449,0.121,10.79,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,smem_32x64,16,5376,2048,0.0425,0.488,0.087,0.72,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,smem_32x64,32,5376,2048,0.0609,0.488,0.125,1.44,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,smem_32x64,64,5376,2048,0.0558,0.4859,0.115,2.9,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,smem_32x64,128,5376,2048,0.0468,0.4857,0.096,5.8,0.0078125,lt,default_tensor
tuna,lt,default_tensor,global_k,smem_32x64,256,5376,2048,0.0629,0.4997,0.126,11.28,0.0,lt,default_tensor
tuna,lt,default_tensor,global_k,smem_32x64,512,5376,2048,0.1262,1.0031,0.126,11.24,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,smem_32x128,16,5376,2048,0.0418,0.4569,0.091,0.77,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,smem_32x128,32,5376,2048,0.0472,0.4604,0.103,1.53,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,smem_32x128,64,5376,2048,0.0735,0.4585,0.16,3.07,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,smem_32x128,128,5376,2048,0.0467,0.4582,0.102,6.15,0.0078125,lt,default_tensor
tuna,lt,default_tensor,global_k,smem_32x128,256,5376,2048,0.068,0.4531,0.15,12.44,0.0,lt,default_tensor
tuna,lt,default_tensor,global_k,smem_32x128,512,5376,2048,0.1264,0.9425,0.134,11.96,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,smem_64x64,16,5376,2048,0.0426,0.6202,0.069,0.57,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,smem_64x64,32,5376,2048,0.0437,0.6168,0.071,1.14,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,smem_64x64,64,5376,2048,0.0444,0.6183,0.072,2.28,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,smem_64x64,128,5376,2048,0.0469,0.6095,0.077,4.62,0.0078125,lt,default_tensor
tuna,lt,default_tensor,global_k,smem_64x64,256,5376,2048,0.0628,0.6125,0.102,9.2,0.0,lt,default_tensor
tuna,lt,default_tensor,global_k,smem_64x64,512,5376,2048,0.1271,1.2113,0.105,9.31,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_16x16,16,8192,5376,0.1345,0.1604,0.838,8.79,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_16x16,32,8192,5376,0.1355,0.172,0.788,16.39,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_16x16,64,8192,5376,0.1378,0.3218,0.428,17.52,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_16x16,128,8192,5376,0.1468,1.388,0.106,8.12,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_16x16,256,8192,5376,0.2251,4.29,0.052,5.26,0.03125,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_16x16,512,8192,5376,0.3021,10.4022,0.029,4.34,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_16x32,16,8192,5376,0.1349,0.1612,0.837,8.74,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_16x32,32,8192,5376,0.1353,0.1693,0.799,16.65,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_16x32,64,8192,5376,0.1386,0.3182,0.436,17.72,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_16x32,128,8192,5376,0.1467,2.3178,0.063,4.86,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_16x32,256,8192,5376,0.2237,5.5628,0.04,4.05,0.03125,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_16x32,512,8192,5376,0.3122,12.1091,0.026,3.72,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_16x64,16,8192,5376,0.1351,0.1592,0.849,8.85,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_16x64,32,8192,5376,0.1353,0.1699,0.796,16.59,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_16x64,64,8192,5376,0.1379,0.2986,0.462,18.88,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_16x64,128,8192,5376,0.1465,1.8183,0.081,6.2,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_16x64,256,8192,5376,0.2237,4.9481,0.045,4.56,0.03125,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_16x64,512,8192,5376,0.3036,11.5169,0.026,3.92,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_32x64,16,8192,5376,0.1351,0.1733,0.78,8.13,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_32x64,32,8192,5376,0.1354,0.173,0.782,16.29,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_32x64,64,8192,5376,0.1377,0.3071,0.448,18.36,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_32x64,128,8192,5376,0.1464,0.7208,0.203,15.64,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_32x64,256,8192,5376,0.2242,1.8713,0.12,12.05,0.03125,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_32x64,512,8192,5376,0.303,4.8375,0.063,9.32,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_64x64,16,8192,5376,0.1348,0.307,0.439,4.59,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_64x64,32,8192,5376,0.1361,0.3078,0.442,9.16,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_64x64,64,8192,5376,0.1384,0.3072,0.45,18.35,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_64x64,128,8192,5376,0.1481,0.6069,0.244,18.58,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_64x64,256,8192,5376,0.2225,1.2201,0.182,18.48,0.03125,lt,default_tensor
tuna,lt,default_tensor,sliding_o,wmma_64x64,512,8192,5376,0.3037,2.4733,0.123,18.23,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_16x64,16,8192,5376,0.1349,0.8799,0.153,1.6,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_16x64,32,8192,5376,0.1357,0.8865,0.153,3.18,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_16x64,64,8192,5376,0.1379,0.8841,0.156,6.38,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_16x64,128,8192,5376,0.1462,0.8875,0.165,12.7,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_16x64,256,8192,5376,0.2169,1.8073,0.12,12.48,0.03125,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_16x64,512,8192,5376,0.3017,3.8833,0.078,11.61,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_16x128,16,8192,5376,0.1347,0.7749,0.174,1.82,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_16x128,32,8192,5376,0.1357,0.7556,0.18,3.73,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_16x128,64,8192,5376,0.1381,0.7833,0.176,7.2,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_16x128,128,8192,5376,0.1478,0.791,0.187,14.25,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_16x128,256,8192,5376,0.2232,1.7023,0.131,13.25,0.03125,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_16x128,512,8192,5376,0.3033,5.0079,0.061,9.01,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_32x64,16,8192,5376,0.1342,0.7915,0.17,1.78,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_32x64,32,8192,5376,0.1348,0.792,0.17,3.56,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_32x64,64,8192,5376,0.1378,0.7962,0.173,7.08,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_32x64,128,8192,5376,0.1441,0.7976,0.181,14.13,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_32x64,256,8192,5376,0.2253,1.5776,0.143,14.29,0.03125,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_32x64,512,8192,5376,0.3037,3.2416,0.094,13.91,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_32x128,16,8192,5376,0.1356,0.7183,0.189,1.96,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_32x128,32,8192,5376,0.1355,0.7186,0.189,3.92,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_32x128,64,8192,5376,0.1377,0.7004,0.197,8.05,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_32x128,128,8192,5376,0.1466,0.7193,0.204,15.67,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_32x128,256,8192,5376,0.2246,1.6479,0.136,13.68,0.03125,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_32x128,512,8192,5376,0.3032,4.5256,0.067,9.96,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_64x64,16,8192,5376,0.1352,0.9717,0.139,1.45,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_64x64,32,8192,5376,0.1354,0.972,0.139,2.9,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_64x64,64,8192,5376,0.1378,0.9717,0.142,5.8,0.015625,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_64x64,128,8192,5376,0.1462,1.0144,0.144,11.11,0.0,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_64x64,256,8192,5376,0.2181,1.91,0.114,11.81,0.03125,lt,default_tensor
tuna,lt,default_tensor,sliding_o,smem_64x64,512,8192,5376,0.3031,2.9827,0.102,15.12,0.0,lt,default_tensor
