backend,op,config,m,k,n,cublas_ms,custom_ms,speedup,custom_tflops,max_abs
sgemm-bf16,sliding_o,bf16_32x64,512,8192,5376,0.3108,4.8537,0.064,9.29,0.0
sgemm-bf16,sliding_o,bf16_64x64,16,8192,5376,0.1364,0.3073,0.444,4.59,0.015625
sgemm-bf16,sliding_o,bf16_64x64,32,8192,5376,0.1357,0.3074,0.441,9.17,0.0
sgemm-bf16,sliding_o,bf16_64x64,64,8192,5376,0.1381,0.308,0.448,18.3,0.015625
sgemm-bf16,sliding_o,bf16_64x64,128,8192,5376,0.1472,0.6132,0.24,18.39,0.0
sgemm-bf16,sliding_o,bf16_64x64,256,8192,5376,1.3775,1.2294,1.12,18.34,0.03125
sgemm-bf16,sliding_o,bf16_64x64,512,8192,5376,0.3046,2.4503,0.124,18.4,0.0
sgemm-bf16,sliding_o,bf16_64x128,16,8192,5376,0.1357,0.5941,0.228,2.37,0.015625
sgemm-bf16,sliding_o,bf16_64x128,32,8192,5376,0.1362,0.5943,0.229,4.74,0.0
sgemm-bf16,sliding_o,bf16_64x128,64,8192,5376,0.1384,0.5938,0.233,9.49,0.015625
sgemm-bf16,sliding_o,bf16_64x128,128,8192,5376,0.1467,0.6017,0.244,18.74,0.0
sgemm-bf16,sliding_o,bf16_64x128,256,8192,5376,1.3552,1.1973,1.132,18.83,0.03125
sgemm-bf16,sliding_o,bf16_64x128,512,8192,5376,0.3112,2.5254,0.123,17.86,0.0
sgemm-bf16,sliding_o,bf16_128x64,16,8192,5376,0.1349,0.6038,0.223,2.33,0.015625
sgemm-bf16,sliding_o,bf16_128x64,32,8192,5376,0.1351,0.6065,0.223,4.65,0.0
sgemm-bf16,sliding_o,bf16_128x64,64,8192,5376,0.1381,0.6031,0.229,9.35,0.015625
sgemm-bf16,sliding_o,bf16_128x64,128,8192,5376,0.1466,0.606,0.242,18.6,0.0
sgemm-bf16,sliding_o,bf16_128x64,256,8192,5376,1.9463,1.1992,1.623,18.8,0.03125
sgemm-bf16,sliding_o,bf16_128x64,512,8192,5376,0.3109,2.384,0.13,18.92,0.0
